documento;arquivo;codigo_topico;modulo;nome_modulo;objetivo_modulo;referencia_v3;topico_macro;nivel;sessoes_v4_1_fundidas;tipos_sessao_v4_1;conteudos_v4_1;decisao_pedagogica
223;223_M8_13_TESTES_DE_SERVICE.md;M8.13;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Testes de service;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;regra de negócio, repository mock/fake e exceções. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | regra de negócio, repository mock/fake e exceções. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | regra de negócio, repository mock/fake e exceções. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | regra de negócio, repository mock/fake e exceções. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
224;224_M8_14_TESTES_DE_REPOSITORY_FAKE.md;M8.14;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Testes de repository fake;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contratos e preparação para banco. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contratos e preparação para banco. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contratos e preparação para banco. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contratos e preparação para banco. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
225;225_M8_15_TDD_PRAGMATICO.md;M8.15;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;TDD pragmático;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;red/green/refactor, quando usar e quando não forçar. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | red/green/refactor, quando usar e quando não forçar. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | red/green/refactor, quando usar e quando não forçar. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | red/green/refactor, quando usar e quando não forçar. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
226;226_M8_16_COVERAGE_COM_JACOCO.md;M8.16;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Coverage com JaCoCo;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;linha, branch, métrica útil e falso conforto. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | linha, branch, métrica útil e falso conforto. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | linha, branch, métrica útil e falso conforto. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | linha, branch, métrica útil e falso conforto. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
227;227_M8_17_MUTATION_TESTING.md;M8.17;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Mutation testing;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;PIT conceitual, qualidade de asserts e lacunas. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | PIT conceitual, qualidade de asserts e lacunas. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | PIT conceitual, qualidade de asserts e lacunas. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | PIT conceitual, qualidade de asserts e lacunas. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
228;228_M8_18_TESTCONTAINERS.md;M8.18;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Testcontainers;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;banco real em container e teste de integração. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | banco real em container e teste de integração. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | banco real em container e teste de integração. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | banco real em container e teste de integração. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
229;229_M8_19_WIREMOCK.md;M8.19;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;WireMock;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;simular APIs externas, erros, timeout e contratos. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | simular APIs externas, erros, timeout e contratos. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | simular APIs externas, erros, timeout e contratos. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | simular APIs externas, erros, timeout e contratos. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
230;230_M8_20_CONTRACT_TESTS.md;M8.20;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Contract tests;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;contrato HTTP/evento, consumidor/produtor e compatibilidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | contrato HTTP/evento, consumidor/produtor e compatibilidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | contrato HTTP/evento, consumidor/produtor e compatibilidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | contrato HTTP/evento, consumidor/produtor e compatibilidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
231;231_M8_21_ARCHUNIT.md;M8.21;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;ArchUnit;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;testar arquitetura, dependências e camadas. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | testar arquitetura, dependências e camadas. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | testar arquitetura, dependências e camadas. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | testar arquitetura, dependências e camadas. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
232;232_M8_22_PROJETO_DOMINIO_TOTALMENTE_TESTADO.md;M8.22;M8;Testes profissionais em Java;Ensinar testes como documentação executável, segurança para refatoração e critério de qualidade backend.;M5 - Testes expandido;Projeto domínio totalmente testado;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;regras de pedido/OS, unitários, integração, coverage e relatório. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | regras de pedido/OS, unitários, integração, coverage e relatório. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | regras de pedido/OS, unitários, integração, coverage e relatório. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | regras de pedido/OS, unitários, integração, coverage e relatório. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
233;233_M9_01_BANCO_RELACIONAL_E_POSTGRESQL.md;M9.01;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Banco relacional e PostgreSQL;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;tabela, coluna, linha, schema, database e cliente SQL. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | tabela, coluna, linha, schema, database e cliente SQL. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | tabela, coluna, linha, schema, database e cliente SQL. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | tabela, coluna, linha, schema, database e cliente SQL. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
234;234_M9_02_TIPOS_DE_DADOS_POSTGRESQL.md;M9.02;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Tipos de dados PostgreSQL;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;integer, bigint, numeric, varchar, text, boolean, date, timestamp, jsonb. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | integer, bigint, numeric, varchar, text, boolean, date, timestamp, jsonb. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | integer, bigint, numeric, varchar, text, boolean, date, timestamp, jsonb. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | integer, bigint, numeric, varchar, text, boolean, date, timestamp, jsonb. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
235;235_M9_03_CREATE_TABLE.md;M9.03;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;CREATE TABLE;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;DDL, colunas, constraints e padrões de nome. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | DDL, colunas, constraints e padrões de nome. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | DDL, colunas, constraints e padrões de nome. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | DDL, colunas, constraints e padrões de nome. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
236;236_M9_04_SELECT_BASICO.md;M9.04;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;SELECT básico;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;colunas, alias, where, order by, limit e offset. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | colunas, alias, where, order by, limit e offset. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | colunas, alias, where, order by, limit e offset. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | colunas, alias, where, order by, limit e offset. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
237;237_M9_05_INSERT.md;M9.05;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;INSERT;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;inserção, campos obrigatórios, default e retorno. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | inserção, campos obrigatórios, default e retorno. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | inserção, campos obrigatórios, default e retorno. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | inserção, campos obrigatórios, default e retorno. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
238;238_M9_06_UPDATE.md;M9.06;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;UPDATE;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;alteração segura, where obrigatório e transação. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | alteração segura, where obrigatório e transação. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | alteração segura, where obrigatório e transação. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | alteração segura, where obrigatório e transação. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
239;239_M9_07_DELETE.md;M9.07;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;DELETE;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;remoção, riscos, soft delete conceitual e where. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | remoção, riscos, soft delete conceitual e where. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | remoção, riscos, soft delete conceitual e where. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | remoção, riscos, soft delete conceitual e where. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
240;240_M9_08_CONSTRAINTS.md;M9.08;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Constraints;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;not null, unique, check, primary key, foreign key. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | not null, unique, check, primary key, foreign key. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | not null, unique, check, primary key, foreign key. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | not null, unique, check, primary key, foreign key. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
241;241_M9_09_MODELAGEM_RELACIONAL.md;M9.09;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Modelagem relacional;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;entidades, atributos, relacionamentos e cardinalidade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | entidades, atributos, relacionamentos e cardinalidade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | entidades, atributos, relacionamentos e cardinalidade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | entidades, atributos, relacionamentos e cardinalidade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
242;242_M9_10_NORMALIZACAO.md;M9.10;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Normalização;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;1FN, 2FN, 3FN, redundância e trade-offs. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | 1FN, 2FN, 3FN, redundância e trade-offs. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | 1FN, 2FN, 3FN, redundância e trade-offs. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | 1FN, 2FN, 3FN, redundância e trade-offs. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
243;243_M9_11_RELACIONAMENTO_1_N.md;M9.11;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Relacionamento 1:N;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;cliente/pedido, OS/atividade, FK e integridade. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | cliente/pedido, OS/atividade, FK e integridade. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | cliente/pedido, OS/atividade, FK e integridade. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | cliente/pedido, OS/atividade, FK e integridade. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
244;244_M9_12_RELACIONAMENTO_N_N.md;M9.12;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Relacionamento N:N;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;tabela associativa, chaves compostas e exemplo. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | tabela associativa, chaves compostas e exemplo. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | tabela associativa, chaves compostas e exemplo. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | tabela associativa, chaves compostas e exemplo. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
245;245_M9_13_JOIN_INNER_E_LEFT.md;M9.13;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;JOIN inner e left;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;diferença, dados faltantes e relatórios. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | diferença, dados faltantes e relatórios. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | diferença, dados faltantes e relatórios. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | diferença, dados faltantes e relatórios. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
246;246_M9_14_GROUP_BY_E_AGREGACOES.md;M9.14;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;GROUP BY e agregações;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;count, sum, avg, min, max, having e relatórios. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | count, sum, avg, min, max, having e relatórios. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | count, sum, avg, min, max, having e relatórios. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | count, sum, avg, min, max, having e relatórios. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
247;247_M9_15_SUBQUERIES.md;M9.15;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Subqueries;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;consulta interna, EXISTS, IN e performance. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | consulta interna, EXISTS, IN e performance. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | consulta interna, EXISTS, IN e performance. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | consulta interna, EXISTS, IN e performance. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
248;248_M9_16_CTE.md;M9.16;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;CTE;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;WITH, legibilidade e consultas complexas. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | WITH, legibilidade e consultas complexas. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | WITH, legibilidade e consultas complexas. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | WITH, legibilidade e consultas complexas. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
249;249_M9_17_VIEWS.md;M9.17;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Views;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;visões, encapsulamento e uso com critério. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | visões, encapsulamento e uso com critério. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | visões, encapsulamento e uso com critério. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | visões, encapsulamento e uso com critério. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
250;250_M9_18_INDICES.md;M9.18;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Índices;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;btree, seletividade, custo de escrita e planejamento. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | btree, seletividade, custo de escrita e planejamento. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | btree, seletividade, custo de escrita e planejamento. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | btree, seletividade, custo de escrita e planejamento. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
251;251_M9_19_EXPLAIN_E_EXPLAIN_ANALYZE.md;M9.19;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;EXPLAIN e EXPLAIN ANALYZE;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;plano de execução, seq scan, index scan e diagnóstico. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | plano de execução, seq scan, index scan e diagnóstico. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | plano de execução, seq scan, index scan e diagnóstico. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | plano de execução, seq scan, index scan e diagnóstico. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
252;252_M9_20_TRANSACOES_ACID.md;M9.20;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Transações ACID;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;commit, rollback, atomicidade e consistência. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | commit, rollback, atomicidade e consistência. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | commit, rollback, atomicidade e consistência. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | commit, rollback, atomicidade e consistência. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
253;253_M9_21_ISOLAMENTO_E_LOCKS.md;M9.21;M9;SQL, PostgreSQL e modelagem relacional;Formar base forte em banco relacional, modelagem, consultas, transações e performance SQL antes do JPA esconder detalhes.;M6 - SQL, JDBC, JPA e Hibernate;Isolamento e locks;intermediario;4;Conceito profundo e quando usar | Implementação guiada com código realista | Refatoração, melhoria e leitura crítica | Exercício solo, perguntas e critério de aprovação;read committed, repeatable read, bloqueios e concorrência. Nesta sessão: entender motivação, alternativas, trade-offs e armadilhas. | read committed, repeatable read, bloqueios e concorrência. Nesta sessão: codar passo a passo uma solução pequena, com nomes bons e saídas verificáveis. | read committed, repeatable read, bloqueios e concorrência. Nesta sessão: melhorar nomes, responsabilidades, duplicações, organização e legibilidade. | read committed, repeatable read, bloqueios e concorrência. Nesta sessão: resolver variação sem copiar, explicar decisões e validar com checklist.;fundir micro-sessões da v4.1 em uma aula mentorada completa
